"","FL_DATE","max_delay"
"1020","2021-10-16",357
"1021","2021-10-17",633
"1022","2021-10-18",1410
"1023","2021-10-19",735
"1024","2021-10-20",745
"1025","2021-10-21",1098
"1026","2021-10-22",501
"1027","2021-10-23",156
"1028","2021-10-24",528
"1029","2021-10-25",297
"1030","2021-10-26",383
"1031","2021-10-27",417
"1032","2021-10-28",302
"1033","2021-10-29",207
"1034","2021-10-30",244
"1035","2021-10-31",347
"1036","2021-11-01",681
"1037","2021-11-02",172
"1038","2021-11-03",743
"1039","2021-11-04",172
"1040","2021-11-05",505
"1041","2021-11-06",154
"1042","2021-11-07",172
"1043","2021-11-08",273
"1044","2021-11-09",256
"1045","2021-11-10",1259
"1046","2021-11-11",2574
"1047","2021-11-12",889
"1048","2021-11-13",668
"1049","2021-11-14",822
"1050","2021-11-15",470
"1051","2021-11-16",726
"1052","2021-11-17",297
"1053","2021-11-18",204
"1054","2021-11-19",251
"1055","2021-11-20",206
"1056","2021-11-21",191
"1057","2021-11-22",190
"1058","2021-11-23",228
"1059","2021-11-24",754
"1060","2021-11-25",252
"1061","2021-11-26",1083
"1062","2021-11-27",265
"1063","2021-11-28",105
"1064","2021-11-29",782
"1065","2021-11-30",361
"1066","2021-12-01",275
"1067","2021-12-02",690
"1068","2021-12-03",614
"1069","2021-12-04",217
"1070","2021-12-05",986
"1071","2021-12-06",403
"1072","2021-12-07",481
"1073","2021-12-08",193
"1074","2021-12-09",862
"1075","2021-12-10",764
"1076","2021-12-11",159
"1077","2021-12-12",1158
"1078","2021-12-13",305
"1079","2021-12-14",399
"1080","2021-12-15",951
"1081","2021-12-16",180
"1082","2021-12-17",288
"1083","2021-12-18",2007
"1084","2021-12-19",124
"1085","2021-12-20",1718
"1086","2021-12-21",219
"1087","2021-12-22",526
"1088","2021-12-23",138
"1089","2021-12-24",1258
"1090","2021-12-25",226
"1091","2021-12-26",1009
"1092","2021-12-27",103
"1093","2021-12-28",285
"1094","2021-12-29",246
"1095","2021-12-30",973
"1096","2021-12-31",155
"1097","2022-01-01",837
"1098","2022-01-02",520
"1099","2022-01-03",375
"1100","2022-01-04",1222
"1101","2022-01-05",644
"1102","2022-01-06",884
"1103","2022-01-07",187
"1104","2022-01-08",214
"1105","2022-01-09",335
"1106","2022-01-10",375
"1107","2022-01-11",149
"1108","2022-01-12",293
"1109","2022-01-13",139
"1110","2022-01-14",1196
"1111","2022-01-15",1447
"1112","2022-01-16",268
"1113","2022-01-17",1280
"1114","2022-01-18",813
"1115","2022-01-19",179
"1116","2022-01-20",234
"1117","2022-01-21",440
"1118","2022-01-22",123
"1119","2022-01-23",245
"1120","2022-01-24",1812
"1121","2022-01-25",178
"1122","2022-01-26",512
"1123","2022-01-27",295
"1124","2022-01-28",694
"1125","2022-01-29",194
"1126","2022-01-30",239
"1127","2022-01-31",581
"1128","2022-02-01",523
"1129","2022-02-02",193
"1130","2022-02-03",1041
"1131","2022-02-04",1045
"1132","2022-02-05",297
"1133","2022-02-06",308
"1134","2022-02-07",383
"1135","2022-02-08",143
"1136","2022-02-09",2206
"1137","2022-02-10",185
"1138","2022-02-11",206
"1139","2022-02-12",258
